DateTime	ClassName	FunctionName	Parameters	Line	StackDepth
2017-11-18T17:26:33.536	org.jfree.chart.XYStepAreaChartTest	setUp	()	78 	1
2017-11-18T17:26:33.639	org.jfree.chart.XYStepAreaChartTest	createChart	()	147 	2
2017-11-18T17:26:33.683	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	3
2017-11-18T17:26:33.686	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:26:33.688	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:26:33.691	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:26:33.691	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:26:33.692	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:26:33.693	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:26:33.695	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:26:33.696	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:26:33.697	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:26:33.698	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:26:33.700	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:26:33.700	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:26:33.701	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:26:33.702	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:26:33.702	org.jfree.data.xy.XYSeries	getItemCount	()	347 	6
2017-11-18T17:26:33.703	org.jfree.data.general.Series	fireSeriesChanged	()	333 	6
2017-11-18T17:26:33.706	org.jfree.data.general.Series	notifyListeners	(org.jfree.data.general.SeriesChangeEvent)	346 	7
2017-11-18T17:26:33.707	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:26:33.708	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:26:33.709	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:26:33.709	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:26:33.716	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:26:33.717	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:26:33.718	org.jfree.data.xy.XYDataItem	compareTo	(java.lang.Object)	181 	6
2017-11-18T17:26:33.718	org.jfree.data.xy.XYDataItem	getX	()	97 	7
2017-11-18T17:26:33.719	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:26:33.719	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:26:33.720	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:26:33.720	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:26:33.721	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:26:33.721	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:26:33.722	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:26:33.722	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:26:33.723	org.jfree.data.xy.XYSeries	getItemCount	()	347 	6
2017-11-18T17:26:33.726	org.jfree.data.general.Series	fireSeriesChanged	()	333 	6
2017-11-18T17:26:33.726	org.jfree.data.general.Series	notifyListeners	(org.jfree.data.general.SeriesChangeEvent)	346 	7
2017-11-18T17:26:33.727	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:26:33.731	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:26:33.732	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:26:33.732	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:26:33.733	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:26:33.735	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:26:33.736	org.jfree.data.xy.XYDataItem	compareTo	(java.lang.Object)	181 	6
2017-11-18T17:26:33.736	org.jfree.data.xy.XYDataItem	getX	()	97 	7
2017-11-18T17:26:33.736	org.jfree.data.xy.XYDataItem	compareTo	(java.lang.Object)	181 	6
2017-11-18T17:26:33.737	org.jfree.data.xy.XYDataItem	getX	()	97 	7
2017-11-18T17:26:33.737	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:26:33.738	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:26:33.738	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:26:33.739	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:26:33.739	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:26:33.739	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:26:33.740	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
